Accession,Source Database,Name,Tax ID,Tax Name,Length
P12961,reviewed,Neuroendocrine protein 7B2,10090,Mus musculus,212
P12968,reviewed,Islet amyloid polypeptide,10090,Mus musculus,93
P12970,reviewed,Large ribosomal subunit protein eL8,10090,Mus musculus,266
P12979,reviewed,Myogenin,10090,Mus musculus,224
P13011,reviewed,Stearoyl-CoA desaturase 2,10090,Mus musculus,358
P13020,reviewed,Gelsolin,10090,Mus musculus,780
P13297,reviewed,Homeobox protein MSX-1,10090,Mus musculus,303
P13346,reviewed,Protein FosB,10090,Mus musculus,338
P13366,reviewed,Granzyme G,10090,Mus musculus,248
P13372,reviewed,Immunoglobulin iota chain,10090,Mus musculus,142
P13373,reviewed,Immunoglobulin omega chain,10090,Mus musculus,142
P13379,reviewed,T-cell surface glycoprotein CD5,10090,Mus musculus,494
P13405,reviewed,Retinoblastoma-associated protein,10090,Mus musculus,921
P13412,reviewed,"Troponin I, fast skeletal muscle",10090,Mus musculus,182
P13439,reviewed,Uridine 5'-monophosphate synthase,10090,Mus musculus,481
P13504,reviewed,Interleukin-1 receptor type 1,10090,Mus musculus,576
P13516,reviewed,Acyl-CoA desaturase 1,10090,Mus musculus,355
P13541,reviewed,Myosin-3,10090,Mus musculus,1940
P13542,reviewed,Myosin-8,10090,Mus musculus,1937
P13562,reviewed,Progonadoliberin-1,10090,Mus musculus,90
P13595,reviewed,Neural cell adhesion molecule 1,10090,Mus musculus,1115
P13597,reviewed,Intercellular adhesion molecule 1,10090,Mus musculus,537
P13609,reviewed,Serglycin,10090,Mus musculus,152
P13634,reviewed,Carbonic anhydrase 1,10090,Mus musculus,261
P13675,reviewed,Y-linked testis-specific protein 1,10090,Mus musculus,232
P13705,reviewed,DNA mismatch repair protein Msh3,10090,Mus musculus,1091
P13707,reviewed,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",10090,Mus musculus,349
P13745,reviewed,Glutathione S-transferase A1,10090,Mus musculus,223
P13808,reviewed,Anion exchange protein 2,10090,Mus musculus,1237
P13864,reviewed,DNA (cytosine-5)-methyltransferase 1,10090,Mus musculus,1620
P14069,reviewed,Protein S100-A6,10090,Mus musculus,89
P14094,reviewed,Sodium/potassium-transporting ATPase subunit beta-1,10090,Mus musculus,304
P14097,reviewed,C-C motif chemokine 4,10090,Mus musculus,92
P14106,reviewed,Complement C1q subcomponent subunit B,10090,Mus musculus,253
P14115,reviewed,Large ribosomal subunit protein uL15,10090,Mus musculus,148
P14131,reviewed,Small ribosomal subunit protein uS9,10090,Mus musculus,146
P14142,reviewed,"Solute carrier family 2, facilitated glucose transporter member 4",10090,Mus musculus,509
P14148,reviewed,Large ribosomal subunit protein uL30,10090,Mus musculus,270
P14152,reviewed,"Malate dehydrogenase, cytoplasmic",10090,Mus musculus,334
P14206,reviewed,Small ribosomal subunit protein uS2,10090,Mus musculus,295
P14211,reviewed,Calreticulin,10090,Mus musculus,416
P14220,reviewed,Glycophorin-A,10090,Mus musculus,168
P14231,reviewed,Sodium/potassium-transporting ATPase subunit beta-2,10090,Mus musculus,290
P14234,reviewed,Tyrosine-protein kinase Fgr,10090,Mus musculus,517
P14246,reviewed,"Solute carrier family 2, facilitated glucose transporter member 2",10090,Mus musculus,523
P14404,reviewed,Histone-lysine N-methyltransferase MECOM,10090,Mus musculus,1232
P14426,reviewed,"H-2 class I histocompatibility antigen, D-K alpha chain",10090,Mus musculus,362
P14427,reviewed,"H-2 class I histocompatibility antigen, D-P alpha chain",10090,Mus musculus,368
P14428,reviewed,"H-2 class I histocompatibility antigen, K-Q alpha chain",10090,Mus musculus,328
P14429,reviewed,"H-2 class I histocompatibility antigen, Q7 alpha chain",10090,Mus musculus,334
P14430,reviewed,"H-2 class I histocompatibility antigen, Q8 alpha chain",10090,Mus musculus,326
P14431,reviewed,"H-2 class I histocompatibility antigen, Q9 alpha chain",10090,Mus musculus,200
P14432,reviewed,"H-2 class I histocompatibility antigen, TLA(B) alpha chain",10090,Mus musculus,384
P14434,reviewed,"H-2 class II histocompatibility antigen, A-B alpha chain",10090,Mus musculus,256
P14435,reviewed,"H-2 class II histocompatibility antigen, A-F alpha chain",10090,Mus musculus,233
P14436,reviewed,"H-2 class II histocompatibility antigen, A-R alpha chain",10090,Mus musculus,233
P14437,reviewed,"H-2 class II histocompatibility antigen, A-S alpha chain",10090,Mus musculus,233
P14438,reviewed,"H-2 class II histocompatibility antigen, A-U alpha chain",10090,Mus musculus,227
P14439,reviewed,"H-2 class II histocompatibility antigen, E-U alpha chain",10090,Mus musculus,255
P14483,reviewed,"H-2 class II histocompatibility antigen, A beta chain",10090,Mus musculus,265
P14576,reviewed,Signal recognition particle subunit SRP54,10090,Mus musculus,504
P14602,reviewed,Heat shock protein beta-1,10090,Mus musculus,209
P14685,reviewed,26S proteasome non-ATPase regulatory subunit 3,10090,Mus musculus,530
P14719,reviewed,Interleukin-1 receptor-like 1,10090,Mus musculus,567
P14733,reviewed,Lamin-B1,10090,Mus musculus,588
P14753,reviewed,Erythropoietin receptor,10090,Mus musculus,507
P14824,reviewed,Annexin A6,10090,Mus musculus,673
P14847,reviewed,C-reactive protein,10090,Mus musculus,225
P14869,reviewed,Large ribosomal subunit protein uL10,10090,Mus musculus,317
P14873,reviewed,Microtubule-associated protein 1B,10090,Mus musculus,2464
P14901,reviewed,Heme oxygenase 1,10090,Mus musculus,289
P15037,reviewed,Protein C-ets-2,10090,Mus musculus,468
P15066,reviewed,Transcription factor JunD,10090,Mus musculus,341
P15089,reviewed,Mast cell carboxypeptidase A,10090,Mus musculus,417
P15105,reviewed,Glutamine synthetase,10090,Mus musculus,373
P15116,reviewed,Cadherin-2,10090,Mus musculus,906
P15119,reviewed,Mast cell protease 2,10090,Mus musculus,244
P15208,reviewed,Insulin receptor,10090,Mus musculus,1372
P15209,reviewed,BDNF/NT-3 growth factors receptor,10090,Mus musculus,821
P15247,reviewed,Interleukin-9,10090,Mus musculus,144
P15261,reviewed,Interferon gamma receptor 1,10090,Mus musculus,477
P15306,reviewed,Thrombomodulin,10090,Mus musculus,577
P15307,reviewed,Proto-oncogene c-Rel,10090,Mus musculus,587
P15314,reviewed,Interferon regulatory factor 1,10090,Mus musculus,329
P15327,reviewed,Bisphosphoglycerate mutase,10090,Mus musculus,259
P15331,reviewed,Peripherin,10090,Mus musculus,475
P15375,reviewed,Myogenic factor 6,10090,Mus musculus,242
P15379,reviewed,CD44 antigen,10090,Mus musculus,778
P15388,reviewed,Potassium voltage-gated channel subfamily C member 1,10090,Mus musculus,511
P15392,reviewed,Cytochrome P450 2A4,10090,Mus musculus,494
P15409,reviewed,Rhodopsin,10090,Mus musculus,348
P15499,reviewed,Peripherin-2,10090,Mus musculus,346
P15501,reviewed,Prostatic spermine-binding protein,10090,Mus musculus,199
P15508,reviewed,"Spectrin beta chain, erythrocytic",10090,Mus musculus,2128
P15530,reviewed,B-cell antigen receptor complex-associated protein beta chain,10090,Mus musculus,228
P15532,reviewed,Nucleoside diphosphate kinase A,10090,Mus musculus,152
P15533,reviewed,Tripartite motif-containing protein 30A,10090,Mus musculus,496
P15535,reviewed,"Beta-1,4-galactosyltransferase 1",10090,Mus musculus,399
P15539,reviewed,"Cytochrome P450 11B2, mitochondrial",10090,Mus musculus,500
P15620,reviewed,Zinc finger protein 271,10090,Mus musculus,580
P15626,reviewed,Glutathione S-transferase Mu 2,10090,Mus musculus,218
P15655,reviewed,Fibroblast growth factor 2,10090,Mus musculus,154
P15656,reviewed,Fibroblast growth factor 5,10090,Mus musculus,264
P15702,reviewed,Leukosialin,10090,Mus musculus,395
P15806,reviewed,Transcription factor E2-alpha,10090,Mus musculus,651
P15864,reviewed,Histone H1.2,10090,Mus musculus,212
P15919,reviewed,V(D)J recombination-activating protein 1,10090,Mus musculus,1040
P15920,reviewed,V-type proton ATPase 116 kDa subunit a 2,10090,Mus musculus,856
P15945,reviewed,Kallikrein 1-related peptidase b5,10090,Mus musculus,261
P15946,reviewed,Kallikrein 1-related peptidase b11,10090,Mus musculus,261
P15947,reviewed,Kallikrein-1,10090,Mus musculus,261
P15948,reviewed,Kallikrein 1-related peptidase b22,10090,Mus musculus,259
P15949,reviewed,Kallikrein 1-related peptidase b9,10090,Mus musculus,261
P15975,reviewed,Inactive ubiquitin carboxyl-terminal hydrolase 53,10090,Mus musculus,1069
P16014,reviewed,Secretogranin-1,10090,Mus musculus,677
P16015,reviewed,Carbonic anhydrase 3,10090,Mus musculus,260
P16043,reviewed,Somatoliberin,10090,Mus musculus,103
P16045,reviewed,Galectin-1,10090,Mus musculus,135
P16054,reviewed,Protein kinase C epsilon type,10090,Mus musculus,737
P16056,reviewed,Hepatocyte growth factor receptor,10090,Mus musculus,1379
P16092,reviewed,Fibroblast growth factor receptor 1,10090,Mus musculus,822
P16110,reviewed,Galectin-3,10090,Mus musculus,264
P16125,reviewed,L-lactate dehydrogenase B chain,10090,Mus musculus,334
P16254,reviewed,Signal recognition particle 14 kDa protein,10090,Mus musculus,110
P16277,reviewed,Tyrosine-protein kinase Blk,10090,Mus musculus,499
P16283,reviewed,Anion exchange protein 3,10090,Mus musculus,1227
P16294,reviewed,Coagulation factor IX,10090,Mus musculus,471
P16297,reviewed,Interleukin-2 receptor subunit beta,10090,Mus musculus,539
P16301,reviewed,Phosphatidylcholine-sterol acyltransferase,10090,Mus musculus,438
P16305,reviewed,Gamma-aminobutyric acid receptor subunit alpha-6,10090,Mus musculus,453
P16330,reviewed,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",10090,Mus musculus,420
P16331,reviewed,Phenylalanine-4-hydroxylase,10090,Mus musculus,453
P16332,reviewed,"Methylmalonyl-CoA mutase, mitochondrial",10090,Mus musculus,748
P16372,reviewed,Zinc finger protein 58,10090,Mus musculus,489
P16373,reviewed,Zinc finger protein 59,10090,Mus musculus,653
P16374,reviewed,Zinc finger protein 60,10090,Mus musculus,707
P16381,reviewed,Putative ATP-dependent RNA helicase Pl10,10090,Mus musculus,660
P16382,reviewed,Interleukin-4 receptor subunit alpha,10090,Mus musculus,810
P16388,reviewed,Potassium voltage-gated channel subfamily A member 1,10090,Mus musculus,495
P16390,reviewed,Potassium voltage-gated channel subfamily A member 3,10090,Mus musculus,528
P16406,reviewed,Glutamyl aminopeptidase,10090,Mus musculus,945
P16460,reviewed,Argininosuccinate synthase,10090,Mus musculus,412
P16546,reviewed,"Spectrin alpha chain, non-erythrocytic 1",10090,Mus musculus,2472
P16563,reviewed,Cysteine-rich secretory protein 2,10090,Mus musculus,243
P16627,reviewed,Heat shock 70 kDa protein 1-like,10090,Mus musculus,641
P16646,reviewed,Peripheral myelin protein 22,10090,Mus musculus,161
P16675,reviewed,Lysosomal protective protein,10090,Mus musculus,474
P16858,reviewed,Glyceraldehyde-3-phosphate dehydrogenase,10090,Mus musculus,333
P16872,reviewed,Interleukin-7 receptor subunit alpha,10090,Mus musculus,459
P16879,reviewed,Tyrosine-protein kinase Fes/Fps,10090,Mus musculus,822
P16882,reviewed,Growth hormone receptor,10090,Mus musculus,650
P16951,reviewed,Cyclic AMP-dependent transcription factor ATF-2,10090,Mus musculus,487
P17012,reviewed,Zinc finger X-chromosomal protein,10090,Mus musculus,799
P17047,reviewed,Lysosome-associated membrane glycoprotein 2,10090,Mus musculus,415
P17095,reviewed,High mobility group protein HMG-I/HMG-Y,10090,Mus musculus,107
P17125,reviewed,Transforming growth factor beta-3 proprotein,10090,Mus musculus,410
P17141,reviewed,Zinc finger protein 37,10090,Mus musculus,594
P17156,reviewed,Heat shock-related 70 kDa protein 2,10090,Mus musculus,633
P17182,reviewed,Alpha-enolase,10090,Mus musculus,434
P17183,reviewed,Gamma-enolase,10090,Mus musculus,434
P17208,reviewed,"POU domain, class 4, transcription factor 1",10090,Mus musculus,421
P17225,reviewed,Polypyrimidine tract-binding protein 1,10090,Mus musculus,555
P17257,reviewed,Protein FAM167B,10090,Mus musculus,162
P17426,reviewed,AP-2 complex subunit alpha-1,10090,Mus musculus,977
P17427,reviewed,AP-2 complex subunit alpha-2,10090,Mus musculus,938
P17433,reviewed,Transcription factor PU.1,10090,Mus musculus,272
P17439,reviewed,Lysosomal acid glucosylceramidase,10090,Mus musculus,515
P17515,reviewed,C-X-C motif chemokine 10,10090,Mus musculus,98
P17532,reviewed,Tryptophan 5-hydroxylase 1,10090,Mus musculus,447
P17533,reviewed,Alpha-defensin 29,10090,Mus musculus,116
P17534,reviewed,Alpha-defensin-related sequence 2,10090,Mus musculus,91
P17553,reviewed,Proto-oncogene Wnt-3,10090,Mus musculus,355
P17563,reviewed,Methanethiol oxidase,10090,Mus musculus,472
P17564,reviewed,Protein phosphatase 1 regulatory subunit 15A,10090,Mus musculus,657
P17665,reviewed,"Cytochrome c oxidase subunit 7C, mitochondrial",10090,Mus musculus,63
P17679,reviewed,Erythroid transcription factor,10090,Mus musculus,413
P17710,reviewed,Hexokinase-1,10090,Mus musculus,974
P17717,reviewed,UDP-glucuronosyltransferase 2B17,10090,Mus musculus,530
P17742,reviewed,Peptidyl-prolyl cis-trans isomerase A,10090,Mus musculus,164
P17751,reviewed,Triosephosphate isomerase,10090,Mus musculus,249
P17809,reviewed,"Solute carrier family 2, facilitated glucose transporter member 1",10090,Mus musculus,492
P17879,reviewed,Heat shock 70 kDa protein 1B,10090,Mus musculus,642
P17892,reviewed,Pancreatic lipase-related protein 2,10090,Mus musculus,482
P17897,reviewed,Lysozyme C-1,10090,Mus musculus,148
P17918,reviewed,Proliferating cell nuclear antigen,10090,Mus musculus,261
P17919,reviewed,Homeobox protein Hox-B1,10090,Mus musculus,297
P17932,reviewed,Putative large ribosomal subunit protein eL32',10090,Mus musculus,135
P17950,reviewed,Immediate early response gene 2 protein,10090,Mus musculus,221
P17981,reviewed,T-cell ecto-ADP-ribosyltransferase 1,10090,Mus musculus,287
P18052,reviewed,Receptor-type tyrosine-protein phosphatase alpha,10090,Mus musculus,829
P18111,reviewed,Homeobox protein CDX-1,10090,Mus musculus,268
P18121,reviewed,Prolactin-3D1,10090,Mus musculus,224
P18155,reviewed,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",10090,Mus musculus,350
P18181,reviewed,CD48 antigen,10090,Mus musculus,240
P18242,reviewed,Cathepsin D,10090,Mus musculus,410
P18293,reviewed,Atrial natriuretic peptide receptor 1,10090,Mus musculus,1057
P18337,reviewed,L-selectin,10090,Mus musculus,372
P18340,reviewed,C-X-C motif chemokine 9,10090,Mus musculus,126
P18406,reviewed,CCN family member 1,10090,Mus musculus,379
P18419,reviewed,Seminal vesicle secretory protein 4,10090,Mus musculus,113
P18468,reviewed,"H-2 class II histocompatibility antigen, I-A beta chain",10090,Mus musculus,264
P18469,reviewed,"H-2 class II histocompatibility antigen, I-E beta chain",10090,Mus musculus,264
P18524,reviewed,Ig heavy chain V region RF,10090,Mus musculus,117
P18525,reviewed,Ig heavy chain V region 5-84,10090,Mus musculus,117
P18526,reviewed,Ig heavy chain V region 345,10090,Mus musculus,117
P18527,reviewed,Ig heavy chain V region 914,10090,Mus musculus,97
P18528,reviewed,Ig heavy chain V region 6.96,10090,Mus musculus,98
P18529,reviewed,Ig heavy chain V region 5-76,10090,Mus musculus,117
P18530,reviewed,Ig heavy chain V region 7-39,10090,Mus musculus,117
P18531,reviewed,Ig heavy chain V region 3-6,10090,Mus musculus,116
P18532,reviewed,Ig heavy chain V region 1B43,10090,Mus musculus,116
P18533,reviewed,Immunoglobulin heavy variable 3-5,10090,Mus musculus,117
P18572,reviewed,Basigin,10090,Mus musculus,389
P18581,reviewed,Cationic amino acid transporter 2,10090,Mus musculus,657
P18608,reviewed,Non-histone chromosomal protein HMG-14,10090,Mus musculus,96
P18653,reviewed,Ribosomal protein S6 kinase alpha-1,10090,Mus musculus,724
P18654,reviewed,Ribosomal protein S6 kinase alpha-3,10090,Mus musculus,740
P18760,reviewed,Cofilin-1,10090,Mus musculus,166
P18761,reviewed,Carbonic anhydrase 6,10090,Mus musculus,317
P18762,reviewed,Beta-2 adrenergic receptor,10090,Mus musculus,418
P18826,reviewed,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",10090,Mus musculus,1241
P18828,reviewed,Syndecan-1,10090,Mus musculus,311
P18872,reviewed,Guanine nucleotide-binding protein G(o) subunit alpha,10090,Mus musculus,354
P18893,reviewed,Interleukin-10,10090,Mus musculus,178
P18894,reviewed,D-amino-acid oxidase,10090,Mus musculus,345
P18911,reviewed,Retinoic acid receptor gamma,10090,Mus musculus,458
P19001,reviewed,"Keratin, type I cytoskeletal 19",10090,Mus musculus,403
P19070,reviewed,Complement receptor type 2,10090,Mus musculus,1025
P19091,reviewed,Androgen receptor,10090,Mus musculus,899
P19096,reviewed,Fatty acid synthase,10090,Mus musculus,2504
P19123,reviewed,"Troponin C, slow skeletal and cardiac muscles",10090,Mus musculus,161
P19137,reviewed,Laminin subunit alpha-1,10090,Mus musculus,3083
P19157,reviewed,Glutathione S-transferase P 1,10090,Mus musculus,210
P19182,reviewed,Interferon-related developmental regulator 1,10090,Mus musculus,449
P19221,reviewed,Prothrombin,10090,Mus musculus,618
P19228,reviewed,Alpha-S1-casein,10090,Mus musculus,313
P19246,reviewed,Neurofilament heavy polypeptide,10090,Mus musculus,1090
P19253,reviewed,Large ribosomal subunit protein uL13,10090,Mus musculus,203
P19258,reviewed,Protein Mpv17,10090,Mus musculus,176
P19324,reviewed,Serpin H1,10090,Mus musculus,417
P19426,reviewed,Negative elongation factor E,10090,Mus musculus,375
P19437,reviewed,B-lymphocyte antigen CD20,10090,Mus musculus,291
P19467,reviewed,Mucin-13,10090,Mus musculus,573
P19536,reviewed,"Cytochrome c oxidase subunit 5B, mitochondrial",10090,Mus musculus,128
P19639,reviewed,Glutathione S-transferase Mu 3,10090,Mus musculus,218
P19783,reviewed,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",10090,Mus musculus,169
P19785,reviewed,Estrogen receptor,10090,Mus musculus,599
P19788,reviewed,Matrix Gla protein,10090,Mus musculus,104
P19973,reviewed,Lymphocyte-specific protein 1,10090,Mus musculus,330
P20029,reviewed,Endoplasmic reticulum chaperone BiP,10090,Mus musculus,655
P20033,reviewed,Platelet-derived growth factor subunit A,10090,Mus musculus,211
P20040,reviewed,"H-2 class II histocompatibility antigen, E-Q beta chain",10090,Mus musculus,264
P20060,reviewed,Beta-hexosaminidase subunit beta,10090,Mus musculus,536
P20065,reviewed,Thymosin beta-4,10090,Mus musculus,50
P20067,reviewed,DNA-binding protein inhibitor ID-1,10090,Mus musculus,168
P20108,reviewed,"Thioredoxin-dependent peroxide reductase, mitochondrial",10090,Mus musculus,257
P20109,reviewed,Interleukin-13,10090,Mus musculus,131
P20152,reviewed,Vimentin,10090,Mus musculus,466
P20181,reviewed,Neurotrophin-3,10090,Mus musculus,258
P20239,reviewed,Zona pellucida sperm-binding protein 2,10090,Mus musculus,713
P20263,reviewed,"POU domain, class 5, transcription factor 1",10090,Mus musculus,352
P20293,reviewed,T-box transcription factor T,10090,Mus musculus,436
P20334,reviewed,Tumor necrosis factor receptor superfamily member 9,10090,Mus musculus,256
P20352,reviewed,Tissue factor,10090,Mus musculus,294
P20357,reviewed,Microtubule-associated protein 2,10090,Mus musculus,1828
P20443,reviewed,S-arrestin,10090,Mus musculus,403
P20444,reviewed,Protein kinase C alpha type,10090,Mus musculus,672
P20489,reviewed,High affinity immunoglobulin epsilon receptor subunit alpha,10090,Mus musculus,250
P20490,reviewed,High affinity immunoglobulin epsilon receptor subunit beta,10090,Mus musculus,235
P20491,reviewed,High affinity immunoglobulin epsilon receptor subunit gamma,10090,Mus musculus,86
P20612,reviewed,Guanine nucleotide-binding protein G(t) subunit alpha-1,10090,Mus musculus,350
P20615,reviewed,Homeobox protein Hox-B9,10090,Mus musculus,250
P20662,reviewed,Zinc finger Y-chromosomal protein 2,10090,Mus musculus,777
P20664,reviewed,DNA primase small subunit,10090,Mus musculus,417
P20693,reviewed,Low affinity immunoglobulin epsilon Fc receptor,10090,Mus musculus,331
P20722,reviewed,Bone morphogenetic protein 6,10090,Mus musculus,510
P20764,reviewed,Immunoglobulin lambda-like polypeptide 1,10090,Mus musculus,209
P20782,reviewed,Acetylcholine receptor subunit epsilon,10090,Mus musculus,493
P20801,reviewed,"Troponin C, skeletal muscle",10090,Mus musculus,160
P20826,reviewed,Kit ligand,10090,Mus musculus,273
P20852,reviewed,Cytochrome P450 2A5,10090,Mus musculus,494
P20863,reviewed,Embryonic growth/differentiation factor 1,10090,Mus musculus,357
P20917,reviewed,Myelin-associated glycoprotein,10090,Mus musculus,627
P20918,reviewed,Plasminogen,10090,Mus musculus,812
P20934,reviewed,Protein EVI2A,10090,Mus musculus,223
P20937,reviewed,T-cell surface glycoprotein YE1/48,10090,Mus musculus,262
P21107,reviewed,Tropomyosin alpha-3 chain,10090,Mus musculus,285
P21126,reviewed,Ubiquitin-like protein 4A,10090,Mus musculus,157
P21129,reviewed,P3 protein,10090,Mus musculus,473
P21180,reviewed,Complement C2,10090,Mus musculus,760
P21183,reviewed,Interleukin-5 receptor subunit alpha,10090,Mus musculus,415
P21237,reviewed,Brain-derived neurotrophic factor,10090,Mus musculus,249
P21271,reviewed,Unconventional myosin-Vb,10090,Mus musculus,1818
P21274,reviewed,Bone morphogenetic protein 2,10090,Mus musculus,394
P21275,reviewed,Bone morphogenetic protein 4,10090,Mus musculus,408
P21278,reviewed,Guanine nucleotide-binding protein subunit alpha-11,10090,Mus musculus,359
P21279,reviewed,Guanine nucleotide-binding protein G(q) subunit alpha,10090,Mus musculus,359
P21300,reviewed,Aldo-keto reductase family 1 member B7,10090,Mus musculus,316
P21440,reviewed,Phosphatidylcholine translocator ABCB4,10090,Mus musculus,1276
P21447,reviewed,ATP-dependent translocase ABCB1,10090,Mus musculus,1276
P21460,reviewed,Cystatin-C,10090,Mus musculus,140
P21550,reviewed,Beta-enolase,10090,Mus musculus,434
P21552,reviewed,Protein Wnt-2,10090,Mus musculus,360
P21570,reviewed,Angiogenin,10090,Mus musculus,145
P21614,reviewed,Vitamin D-binding protein,10090,Mus musculus,476
P21619,reviewed,Lamin-B2,10090,Mus musculus,596
P21658,reviewed,Fibroblast growth factor 6,10090,Mus musculus,208
P21661,reviewed,Neuroendocrine convertase 2,10090,Mus musculus,637
P21729,reviewed,Gastrin-releasing peptide receptor,10090,Mus musculus,384
P21761,reviewed,Thyrotropin-releasing hormone receptor,10090,Mus musculus,393
P21765,reviewed,Epididymal secretory glutathione peroxidase,10090,Mus musculus,221
P21784,reviewed,V(D)J recombination-activating protein 2,10090,Mus musculus,527
P21803,reviewed,Fibroblast growth factor receptor 2,10090,Mus musculus,821
P21812,reviewed,Mast cell protease 4,10090,Mus musculus,246
P21836,reviewed,Acetylcholinesterase,10090,Mus musculus,614
P21841,reviewed,Pulmonary surfactant-associated protein C,10090,Mus musculus,193
P21844,reviewed,Chymase,10090,Mus musculus,247
P21845,reviewed,Tryptase beta-2,10090,Mus musculus,276
P21855,reviewed,B-cell differentiation antigen CD72,10090,Mus musculus,354
P21952,reviewed,"POU domain, class 3, transcription factor 1",10090,Mus musculus,449
P21956,reviewed,Lactadherin,10090,Mus musculus,463
P21958,reviewed,Antigen peptide transporter 1,10090,Mus musculus,724
P21981,reviewed,Protein-glutamine gamma-glutamyltransferase 2,10090,Mus musculus,686
P21995,reviewed,Embigin,10090,Mus musculus,330
P22005,reviewed,Proenkephalin-A,10090,Mus musculus,268
P22091,reviewed,T-cell acute lymphocytic leukemia protein 1 homolog,10090,Mus musculus,329
P22227,reviewed,Zinc finger protein 42,10090,Mus musculus,288
P22272,reviewed,Interleukin-6 receptor subunit alpha,10090,Mus musculus,460
P22315,reviewed,"Ferrochelatase, mitochondrial",10090,Mus musculus,422
P22339,reviewed,Growth arrest and DNA damage-inducible protein GADD45 beta,10090,Mus musculus,160
P22361,reviewed,Hepatocyte nuclear factor 1-alpha,10090,Mus musculus,628
P22366,reviewed,Myeloid differentiation primary response protein MyD88,10090,Mus musculus,296
P22387,reviewed,Endothelin-1,10090,Mus musculus,202
P22389,reviewed,Endothelin-2,10090,Mus musculus,175
P22437,reviewed,Prostaglandin G/H synthase 1,10090,Mus musculus,602
P22518,reviewed,Dual specificity protein kinase CLK1,10090,Mus musculus,483
P22561,reviewed,Wilms tumor protein homolog,10090,Mus musculus,449
P22599,reviewed,Alpha-1-antitrypsin 1-2,10090,Mus musculus,413
P22605,reviewed,Retinoic acid receptor beta,10090,Mus musculus,482
P22646,reviewed,T-cell surface glycoprotein CD3 epsilon chain,10090,Mus musculus,189
P22682,reviewed,E3 ubiquitin-protein ligase CBL,10090,Mus musculus,913
P22723,reviewed,Gamma-aminobutyric acid receptor subunit gamma-2,10090,Mus musculus,474
P22724,reviewed,Protein Wnt-4,10090,Mus musculus,351
P22725,reviewed,Protein Wnt-5a,10090,Mus musculus,380
P22726,reviewed,Protein Wnt-5b,10090,Mus musculus,359
P22727,reviewed,Protein Wnt-6,10090,Mus musculus,364
P22777,reviewed,Plasminogen activator inhibitor 1,10090,Mus musculus,402
P22858,reviewed,Parathyroid hormone-related protein,10090,Mus musculus,175
P22892,reviewed,AP-1 complex subunit gamma-1,10090,Mus musculus,822
P22893,reviewed,mRNA decay activator protein ZFP36,10090,Mus musculus,319
P22907,reviewed,Porphobilinogen deaminase,10090,Mus musculus,361
P22933,reviewed,Gamma-aminobutyric acid receptor subunit delta,10090,Mus musculus,449
P22935,reviewed,Cellular retinoic acid-binding protein 2,10090,Mus musculus,138
P23116,reviewed,Eukaryotic translation initiation factor 3 subunit A,10090,Mus musculus,1344
P23150,reviewed,"H-2 class II histocompatibility antigen, I-E alpha chain",10090,Mus musculus,254
P23188,reviewed,Furin,10090,Mus musculus,793
P23198,reviewed,Chromobox protein homolog 3,10090,Mus musculus,183
P23204,reviewed,Peroxisome proliferator-activated receptor alpha,10090,Mus musculus,468
P23242,reviewed,Gap junction alpha-1 protein,10090,Mus musculus,382
P23249,reviewed,Putative helicase MOV-10,10090,Mus musculus,1004
P23275,reviewed,Olfactory receptor 2C1,10090,Mus musculus,312
P23298,reviewed,Protein kinase C eta type,10090,Mus musculus,683
P23299,reviewed,Potassium voltage-gated channel subfamily E member 1,10090,Mus musculus,129
P23336,reviewed,"N-acetyllactosaminide alpha-1,3-galactosyltransferase",10090,Mus musculus,394
P23359,reviewed,Bone morphogenetic protein 7,10090,Mus musculus,430
P23440,reviewed,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",10090,Mus musculus,856
P23463,reviewed,Homeobox protein Hox-D8,10090,Mus musculus,289
P23475,reviewed,X-ray repair cross-complementing protein 6,10090,Mus musculus,608
P23492,reviewed,Purine nucleoside phosphorylase,10090,Mus musculus,289
P23506,reviewed,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,10090,Mus musculus,227
P23578,reviewed,Acrosin,10090,Mus musculus,436
P23589,reviewed,"Carbonic anhydrase 5A, mitochondrial",10090,Mus musculus,299
P23591,reviewed,GDP-L-fucose synthase,10090,Mus musculus,321
P23607,reviewed,Zinc finger autosomal protein,10090,Mus musculus,742
P23611,reviewed,Interferon regulatory factor 8,10090,Mus musculus,424
P23683,reviewed,Homeobox even-skipped homolog protein 1,10090,Mus musculus,416
P23708,reviewed,Nuclear transcription factor Y subunit alpha,10090,Mus musculus,346
P23738,reviewed,Histidine decarboxylase,10090,Mus musculus,662
P23772,reviewed,Trans-acting T-cell-specific transcription factor GATA-3,10090,Mus musculus,443
P23780,reviewed,Beta-galactosidase,10090,Mus musculus,647
P23798,reviewed,Polycomb group RING finger protein 2,10090,Mus musculus,342
P23804,reviewed,E3 ubiquitin-protein ligase Mdm2,10090,Mus musculus,489
